class,domain_fid
0,96.86914415260941
1,62.2507191353035
2,74.78907292504017
3,74.69259063557334
4,77.58258693161585
5,120.09464343301646
6,78.30588604763501
7,49.593508823756665
8,138.37332996111223
9,142.21440282950573
