class,domain_fid
0,64.7425568678826
1,59.937343021318284
2,75.5730173848597
3,56.50422999174101
4,55.61508754673547
5,203.65812823658155
6,65.97927029005994
7,87.69572695583335
8,217.63270300373765
9,356.0276679869605
