class,domain_fid
0,91.06820162196892
1,66.24378059911612
2,75.90536079585291
3,71.29112430438725
4,74.97192806948325
5,107.19957172230176
6,80.66126004456703
7,58.72069009171315
8,134.81884774557471
9,137.0104888819405
