class,domain_fid
0,91.90319182838569
1,64.72795564400556
2,81.61631896988109
3,78.05512986770228
4,74.8601830914132
5,120.73269271710546
6,87.19071285811279
7,57.257964741761626
8,133.6131331163188
9,143.9708102511922
